Vehicle Original,Sales,% Change,Change,Movie Presence,Release,Car,Stars,Vehicle,Rank,Gross,Distributor,Year,Strong Appearance,Weak Appearance,Total Appearance,Best Rank,Highest Star
dodge charger,98336,0.190623789,Positive,dodge charger,Fast & Furious 6,1969 dodge charger,4,dodge charger,8,"$238,679,850 ",Universal Pictures,2013,4,16,20,8,4
dodge dart,83388,2.295577599,Positive,dodge dart,Elysium,1980 dodge dart,1,dodge dart,37,"$93,050,117 ",TriStar Pictures,2013,0,3,3,37,1
dodge durango,60727,0.425884618,Positive,dodge durango,Man of Steel,2011 dodge durango,1,dodge durango,4,"$291,045,518 ",Warner Bros.,2013,0,3,3,4,1
dodge grand caravan,124019,-0.123342381,Negative,dodge grand caravan,Prisoners,2003 dodge grand caravan,3,dodge grand caravan,60,"$61,002,302 ",Warner Bros.,2013,1,9,10,60,3
dodge journey,83933,0.054925028,Positive,0,,,,,,,,2013,,,,,
dodge ram,355673,0.212398973,Positive,dodge ram,2 Guns,2002 dodge ram,3,dodge ram,45,"$75,612,460 ",Universal Pictures,2013,2,9,11,45,3
dodge viper,591,28.55,Positive,0,,,,,,,,2013,,,,,
fiat 500,35834,-0.181348807,Negative,fiat 500,Identity Thief,2013 fiat 500,3,fiat 500,19,"$134,506,920 ",Universal Pictures,2013,1,6,7,19,3
ford c-max,35210,1.64557818,Positive,0,,,,,,,,2013,,,,,
ford edge,129109,0.008908408,Positive,ford edge,2 Guns,2011 ford edge,2,ford edge,45,"$75,612,460 ",Universal Pictures,2013,0,1,1,45,2
ford escape,295993,0.134038037,Positive,ford escape,World War Z,2001 ford escape,1,ford escape,12,"$202,359,711 ",Paramount Pictures,2013,0,8,8,12,1
ford expedition,38350,0.007566602,Positive,ford expedition,Snitch,2009 ford expedition gen.3,2,ford expedition,78,"$42,930,462 ",Lionsgate,2013,0,3,3,78,2
ford explorer,192397,0.171673558,Positive,ford explorer,Olympus Has Fallen,1995 ford explorer,2,ford explorer,33,"$98,925,640 ",FilmDistrict,2013,0,10,10,33,2
ford explorer police interceptor ,14086,1.402524305,Positive,ford explorer,,,,,,,,2013,,,,,
ford f-series,763402,0.182989419,Positive,ford f-series,Prisoners,1997 ford f-150,4,ford f-,60,"$61,002,302 ",Warner Bros.,2013,2,27,29,60,4
ford fiesta,71073,0.251836196,Positive,ford fiesta,Zero Dark Thirty,2011 ford fiesta classic,1,ford fiesta,35,"$94,277,984 ",Sony Pictures Entertainment (SPE),2013,0,3,3,35,1
ford flex,25953,-0.080463435,Negative,0,,,,,,,,2013,,,,,
ford focus,234570,-0.046160978,Negative,ford focus,Mama,2012 ford focus,2,ford focus,48,"$71,628,180 ",Universal Pictures,2013,0,15,15,48,2
ford fusion,295280,0.223892599,Positive,ford fusion,A Good Day to Die Hard,2006 ford fusion,1,ford fusion,54,"$67,349,198 ",Twentieth Century Fox,2013,0,3,3,54,1
ford mustang,77186,-0.069992168,Negative,ford mustang,Fast & Furious 6,1969 ford mustang,3,ford mustang,8,"$238,679,850 ",Universal Pictures,2013,1,18,19,8,3
ford taurus,79960,0.075092437,Positive,ford taurus,Identity Thief,2008 ford taurus,4,ford taurus,19,"$134,506,920 ",Universal Pictures,2013,1,17,18,19,4
ford taurus police interceptor,10897,0.311469491,Positive,ford taurus,,,,,,,,2013,,,,,
gmc acadia,89793,0.147074604,Positive,gmc acadia,Now You See Me,2007 gmc acadia,1,gmc acadia,23,"$117,723,989 ",Lionsgate,2013,0,2,2,23,1
gmc canyon,929,-0.893646251,Negative,0,,,,,,,,2013,,,,,
